City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
526,narathiwat,6.3333,101.75,296.82,96,100,3.42,TH,1726517797
527,hilo,19.7297,-155.09,301.53,88,75,5.14,US,1726517798
528,ramadi,33.4226,43.3058,304.72,31,0,4.55,IQ,1726517799
529,zanjan,36.6736,48.4787,289.37,64,6,3.48,IR,1726517800
530,ash shafa,21.0694,40.3119,295.97,38,2,1.05,SA,1726517801
531,dindima,10.2263,10.1513,297.33,88,89,1.91,NG,1726517804
532,warrnambool,-38.3833,142.4833,282.06,81,100,5.0,AU,1726517805
533,viedma,-40.8135,-62.9967,293.14,21,2,3.11,AR,1726517574
534,springs,-26.25,28.4,293.49,42,100,2.3,ZA,1726517807
535,tarko-sale,64.9225,77.785,285.3,95,100,4.26,RU,1726517808
536,guerrero negro,27.9769,-114.0611,296.03,56,4,7.04,MX,1726517810
537,juan griego,11.0817,-63.9655,305.45,61,86,4.79,VE,1726517811
538,hami,42.8,93.45,293.56,21,0,0.78,CN,1726517793
539,tutoia,-2.7619,-42.2744,300.15,75,18,6.14,BR,1726517813
540,ciudad lazaro cardenas,17.9583,-102.2,303.36,73,59,2.73,MX,1726517318
541,piacabucu,-10.4056,-36.4344,297.86,74,20,4.07,BR,1726517815
542,perbaungan,3.5679,98.956,297.61,93,100,1.35,ID,1726517816
543,phu ly,20.5411,105.9139,298.15,91,56,1.87,VN,1726517817
544,tandil,-37.3217,-59.1332,293.8,37,0,2.28,AR,1726517818
